"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Franklin","United States President/Vice President","Shiva Ayyadurai / Crystal Ellis","Independent Candidates","25","0.0784","Federal"
"Franklin","United States President/Vice President","WRITE-IN"," ","158","0.4953","Federal"
"Franklin","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","12538","40.7078","Federal"
"Franklin","United States U.S. Senator","Dr Raul Garcia","(Prefers GOP Party)","18212","59.1299","Federal"
"Franklin","United States U.S. Senator","WRITE-IN"," ","50","0.1623","Federal"
"Franklin","CONGRESSIONAL DISTRICT 4 U.S. Representative","Jerrod Sessler","(Prefers Republican Party)","12385","46.6971","Congressional"
"Franklin","CONGRESSIONAL DISTRICT 4 U.S. Representative","Dan Newhouse","(Prefers Republican Party)","13756","51.8664","Congressional"
"Franklin","CONGRESSIONAL DISTRICT 4 U.S. Representative","WRITE-IN"," ","381","1.4365","Congressional"
"Franklin","CONGRESSIONAL DISTRICT 5 U.S. Representative","Michael Baumgartner","(Prefers Republican Party)","2680","82.9978","Congressional"
"Franklin","CONGRESSIONAL DISTRICT 5 U.S. Representative","Carmela Conroy","(Prefers Democratic Party)","548","16.9712","Congressional"
"Franklin","CONGRESSIONAL DISTRICT 5 U.S. Representative","WRITE-IN"," ","1","0.031","Congressional"
"Franklin","Washington State Governor","Bob Ferguson","(Prefers Democratic Party)","11385","36.6124","State Executive"
"Franklin","Washington State Governor","Dave Reichert","(Prefers Republican Party)","19676","63.275","State Executive"
"Franklin","Washington State Governor","WRITE-IN"," ","35","0.1126","State Executive"
"Franklin","Washington State Lt. Governor","Denny Heck","(Prefers Democratic Party)","10997","35.7359","State Executive"
"Franklin","Washington State Lt. Governor","Dan Matthews","(Prefers Republican Party)","19756","64.1991","State Executive"
"Franklin","Washington State Lt. Governor","WRITE-IN"," ","20","0.065","State Executive"
"Franklin","Washington State Secretary of State","Steve Hobbs","(Prefers Democratic Party)","12290","39.6784","State Executive"
"Franklin","Washington State Secretary of State","Dale Whitaker","(Prefers Republican Party)","18661","60.2473","State Executive"
"Franklin","Washington State Secretary of State","WRITE-IN"," ","23","0.0743","State Executive"
"Franklin","Washington State State Treasurer","Mike Pellicciotti","(Prefers Democratic Party)","11885","38.5751","State Executive"
"Franklin","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","18911","61.3794","State Executive"
"Franklin","Washington State State Treasurer","WRITE-IN"," ","14","0.0454","State Executive"
"Franklin","Washington State State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)","11847","38.5055","State Executive"
"Franklin","Washington State State Auditor","Matt Hawkins","(Prefers Republican Party)","18901","61.4327","State Executive"
"Franklin","Washington State State Auditor","WRITE-IN"," ","19","0.0618","State Executive"
"Franklin","Washington State Attorney General","Pete Serrano","(Prefers Republican Party)","19917","64.3647","State Executive"
"Franklin","Washington State Attorney General","Nick Brown","(Prefers Democratic Party)","11009","35.5772","State Executive"
"Franklin","Washington State Attorney General","WRITE-IN"," ","18","0.0582","State Executive"
"Franklin","Washington State Commissioner of Public Lands","Jaime Herrera Beutler","(Prefers Republican Party)","20127","65.7401","State Executive"
"Franklin","Washington State Commissioner of Public Lands","Dave Upthegrove","(Prefers Democratic Party)","10443","34.1096","State Executive"
"Franklin","Washington State Commissioner of Public Lands","WRITE-IN"," ","46","0.1502","State Executive"
"Franklin","Washington State Superintendent of Public Instruction","Chris Reykdal"," ","10348","38.2282","State Executive"
"Franklin","Washington State Superintendent of Public Instruction","David Olson"," ","16607","61.3506","State Executive"
"Franklin","Washington State Superintendent of Public Instruction","WRITE-IN"," ","114","0.4211","State Executive"
"Franklin","Washington State Insurance Commissioner","Patty Kuderer","(Prefers Democratic Party)","11413","37.378","State Executive"
"Franklin","Washington State Insurance Commissioner","Phil Fortunato","(Prefers Republican Party)","19099","62.5499","State Executive"
"Franklin","Washington State Insurance Commissioner","WRITE-IN"," ","22","0.0721","State Executive"
"Franklin","LEGISLATIVE DISTRICT 8 State Representative Pos. 1","Stephanie Barnard","(Prefers Republican Party)","7175","97.9924","Legislative"
"Franklin","LEGISLATIVE DISTRICT 8 State Representative Pos. 1","WRITE-IN"," ","147","2.0076","Legislative"
"Franklin","LEGISLATIVE DISTRICT 8 State Representative Pos. 2","April Connors","(Prefers Republican Party)","6240","69.2641","Legislative"
"Franklin","LEGISLATIVE DISTRICT 8 State Representative Pos. 2","John Christenson","(Prefers Democratic Party)","2757","30.6027","Legislative"
"Franklin","LEGISLATIVE DISTRICT 8 State Representative Pos. 2","WRITE-IN"," ","12","0.1332","Legislative"
"Franklin","LEGISLATIVE DISTRICT 14 State Senator","Curtis King","(Prefers Republican Party)","1586","38.768","Legislative"
"Franklin","LEGISLATIVE DISTRICT 14 State Senator","Maria Beltran","(Prefers Democratic Party)","2502","61.1586","Legislative"
"Franklin","LEGISLATIVE DISTRICT 14 State Senator","WRITE-IN"," ","3","0.0733","Legislative"
"Franklin","LEGISLATIVE DISTRICT 14 State Representative Pos. 1","Chelsea Dimas","(Prefers Democratic Party)","2263","56.1957","Legislative"
"Franklin","LEGISLATIVE DISTRICT 14 State Representative Pos. 1","Gloria Mendoza","(Prefers Republican Party)","1760","43.705","Legislative"
"Franklin","LEGISLATIVE DISTRICT 14 State Representative Pos. 1","WRITE-IN"," ","4","0.0993","Legislative"
"Franklin","LEGISLATIVE DISTRICT 14 State Representative Pos. 2","Deb Manjarrez","(Prefers Republican Party)","1534","37.6257","Legislative"
"Franklin","LEGISLATIVE DISTRICT 14 State Representative Pos. 2","Ana Ruiz Kennedy","(Prefers Democratic Party)","2542","62.3498","Legislative"
"Franklin","LEGISLATIVE DISTRICT 14 State Representative Pos. 2","WRITE-IN"," ","1","0.0245","Legislative"
"Franklin","LEGISLATIVE DISTRICT 16 State Senator","Perry Dozier","(Prefers Republican Party)","12278","69.8487","Legislative"
"Franklin","LEGISLATIVE DISTRICT 16 State Senator","Kari Isaacson","(Prefers Democratic Party)","5289","30.0887","Legislative"
"Franklin","LEGISLATIVE DISTRICT 16 State Senator","WRITE-IN"," ","11","0.0626","Legislative"
"Franklin","LEGISLATIVE DISTRICT 16 State Representative Pos. 1","Mark Klicker","(Prefers Republican Party)","12346","70.2955","Legislative"
"Franklin","LEGISLATIVE DISTRICT 16 State Representative Pos. 1","Linda Gunshefski","(Prefers Democratic Party)","5211","29.6703","Legislative"
"Franklin","LEGISLATIVE DISTRICT 16 State Representative Pos. 1","WRITE-IN"," ","6","0.0342","Legislative"
"Franklin","LEGISLATIVE DISTRICT 16 State Representative Pos. 2","Skyler Rude","(Prefers Republican Party)","12373","70.8","Legislative"
"Franklin","LEGISLATIVE DISTRICT 16 State Representative Pos. 2","Craig R Woodard","(Prefers Democratic Party)","5097","29.1657","Legislative"
"Franklin","LEGISLATIVE DISTRICT 16 State Representative Pos. 2","WRITE-IN"," ","6","0.0343","Legislative"
"Franklin","COUNTY COMMISSION DISTRICT 1 Commissioner District 1","Stephen Bauman","(Prefers Republican Party)","6547","61.9102","Commissioner"
"Franklin","COUNTY COMMISSION DISTRICT 1 Commissioner District 1","Caleb Atkins","(Prefers Republican Party)","3922","37.0875","Commissioner"
"Franklin","COUNTY COMMISSION DISTRICT 1 Commissioner District 1","WRITE-IN"," ","106","1.0024","Commissioner"
"Franklin","COUNTY COMMISSION DISTRICT 2 Commissioner District 2","Rocky Mullen","(Prefers Republican Party)","2974","57.6468","Commissioner"
"Franklin","COUNTY COMMISSION DISTRICT 2 Commissioner District 2","Blanche Barajas","(Prefers Independent Party)","2176","42.1787","Commissioner"
"Franklin","COUNTY COMMISSION DISTRICT 2 Commissioner District 2","WRITE-IN"," ","9","0.1745","Commissioner"
"Franklin","SUPREME COURT Justice Position #02","Sal Mungia"," ","11297","40.6967","Judicial"
"Franklin","SUPREME COURT Justice Position #02","Dave Larson"," ","16390","59.0439","Judicial"
"Franklin","SUPREME COURT Justice Position #02","WRITE-IN"," ","72","0.2594","Judicial"
"Franklin","SUPREME COURT Justice Position #08","Steve Gonzalez"," ","22171","98.6737","Judicial"
"Franklin","SUPREME COURT Justice Position #08","WRITE-IN"," ","298","1.3263","Judicial"
"Franklin","SUPREME COURT Justice Position #09","Sheryl Gordon McCloud"," ","21545","98.5275","Judicial"
"Franklin","SUPREME COURT Justice Position #09","WRITE-IN"," ","322","1.4725","Judicial"
"Franklin","BENTON, FRANKLIN SUPERIOR COURT Judge Position 5","Bronson J. Brown"," ","13107","47.453","Judicial"
"Franklin","BENTON, FRANKLIN SUPERIOR COURT Judge Position 5","Shawn P. Sant"," ","14447","52.3044","Judicial"
"Franklin","BENTON, FRANKLIN SUPERIOR COURT Judge Position 5","WRITE-IN"," ","67","0.2426","Judicial"
"Franklin","PUBLIC UTILITY DISTRICT Commissioner District 3","Pedro Torres Jr"," ","14887","54.2292","Public Utility"
"Franklin","PUBLIC UTILITY DISTRICT Commissioner District 3","Stu Nelson"," ","12507","45.5595","Public Utility"
"Franklin","PUBLIC UTILITY DISTRICT Commissioner District 3","WRITE-IN"," ","58","0.2113","Public Utility"
"Franklin","FRANKLIN COUNTY FIRE PROTECTION DISTRICT NO. 1 Proposition No. 1","Approved"," ","276","42.5926","Fire"
"Franklin","FRANKLIN COUNTY FIRE PROTECTION DISTRICT NO. 1 Proposition No. 1","Rejected"," ","372","57.4074","Fire"
"Garfield","Washington State Initiative Measure No. 2066","Yes"," ","921","69.4047","State Executive"
"Garfield","Washington State Initiative Measure No. 2066","No"," ","406","30.5953","State Executive"
"Garfield","Washington State Initiative Measure No. 2109","Yes"," ","717","53.8693","State Executive"
"Garfield","Washington State Initiative Measure No. 2109","No"," ","614","46.1307","State Executive"
"Garfield","Washington State Initiative Measure No. 2117","Yes"," ","853","64.039","State Executive"
"Garfield","Washington State Initiative Measure No. 2117","No"," ","479","35.961","State Executive"
"Garfield","Washington State Initiative Measure No. 2124","Yes"," ","767","58.327","State Executive"
"Garfield","Washington State Initiative Measure No. 2124","No"," ","548","41.673","State Executive"
"Garfield","United States President/Vice President","Kamala D. Harris / Tim Walz","Democratic Party Nominees","330","24.4083","Federal"
"Garfield","United States President/Vice President","Donald J. Trump / JD Vance","Republican Party Nominees","973","71.9675","Federal"
"Garfield","United States President/Vice President","Robert F. Kennedy Jr. / Nicole Shanahan","We The People Party Nominees","31","2.2929","Federal"
"Garfield","United States President/Vice President","Jill Stein / Rudolph Ware","Green Party Nominees","1","0.074","Federal"
"Garfield","United States President/Vice President","Claudia De la Cruz / Karina Garcia","Socialism and Liberation Party Nominees","0","0","Federal"
"Garfield","United States President/Vice President","Rachele Fruit / Dennis Richter","Socialist Workers Party Nominees","0","0","Federal"
"Garfield","United States President/Vice President","Joseph Kishore / Jerry White","Socialist Equality Party Nominees","0","0","Federal"
"Garfield","United States President/Vice President","Chase Oliver / Mike ter Maat","Libertarian Party Nominees","4","0.2959","Federal"
"Garfield","United States President/Vice President","Cornel West / Melina Abdullah","Justice For All Party Nominees","3","0.2219","Federal"
"Garfield","United States President/Vice President","Shiva Ayyadurai / Crystal Ellis","Independent Candidates","1","0.074","Federal"
"Garfield","United States President/Vice President","WRITE-IN"," ","9","0.6657","Federal"
"Garfield","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","413","30.8209","Federal"
"Garfield","United States U.S. Senator","Dr Raul Garcia","(Prefers GOP Party)","926","69.1045","Federal"
"Garfield","United States U.S. Senator","WRITE-IN"," ","1","0.0746","Federal"
"Garfield","CONGRESSIONAL DISTRICT 5 U.S. Representative","Michael Baumgartner","(Prefers Republican Party)","1081","79.8965","Congressional"
"Garfield","CONGRESSIONAL DISTRICT 5 U.S. Representative","Carmela Conroy","(Prefers Democratic Party)","272","20.1035","Congressional"
"Garfield","CONGRESSIONAL DISTRICT 5 U.S. Representative","WRITE-IN"," ","0","0","Congressional"
"Garfield","Washington State Governor","Bob Ferguson","(Prefers Democratic Party)","299","21.9369","State Executive"
"Garfield","Washington State Governor","Dave Reichert","(Prefers Republican Party)","1064","78.0631","State Executive"
"Garfield","Washington State Governor","WRITE-IN"," ","0","0","State Executive"
"Garfield","Washington State Lt. Governor","Denny Heck","(Prefers Democratic Party)","288","21.5408","State Executive"
"Garfield","Washington State Lt. Governor","Dan Matthews","(Prefers Republican Party)","1049","78.4592","State Executive"
"Garfield","Washington State Lt. Governor","WRITE-IN"," ","0","0","State Executive"
"Garfield","Washington State Secretary of State","Steve Hobbs","(Prefers Democratic Party)","326","24.6783","State Executive"
"Garfield","Washington State Secretary of State","Dale Whitaker","(Prefers Republican Party)","994","75.246","State Executive"
"Garfield","Washington State Secretary of State","WRITE-IN"," ","1","0.0757","State Executive"
"Garfield","Washington State State Treasurer","Mike Pellicciotti","(Prefers Democratic Party)","313","23.8931","State Executive"
"Garfield","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","996","76.0305","State Executive"
"Garfield","Washington State State Treasurer","WRITE-IN"," ","1","0.0763","State Executive"
"Garfield","Washington State State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)","307","23.4351","State Executive"
"Garfield","Washington State State Auditor","Matt Hawkins","(Prefers Republican Party)","1003","76.5649","State Executive"
"Garfield","Washington State State Auditor","WRITE-IN"," ","0","0","State Executive"
"Garfield","Washington State Attorney General","Pete Serrano","(Prefers Republican Party)","1025","78.3639","State Executive"
"Garfield","Washington State Attorney General","Nick Brown","(Prefers Democratic Party)","283","21.6361","State Executive"
"Garfield","Washington State Attorney General","WRITE-IN"," ","0","0","State Executive"
"Garfield","Washington State Commissioner of Public Lands","Jaime Herrera Beutler","(Prefers Republican Party)","1060","81.2883","State Executive"
"Garfield","Washington State Commissioner of Public Lands","Dave Upthegrove","(Prefers Democratic Party)","243","18.635","State Executive"
"Garfield","Washington State Commissioner of Public Lands","WRITE-IN"," ","1","0.0767","State Executive"
"Garfield","Washington State Superintendent of Public Instruction","Chris Reykdal"," ","402","35.9249","State Executive"
"Garfield","Washington State Superintendent of Public Instruction","David Olson"," ","715","63.8963","State Executive"
"Garfield","Washington State Superintendent of Public Instruction","WRITE-IN"," ","2","0.1787","State Executive"
"Garfield","Washington State Insurance Commissioner","Patty Kuderer","(Prefers Democratic Party)","300","23.2739","State Executive"
"Garfield","Washington State Insurance Commissioner","Phil Fortunato","(Prefers Republican Party)","988","76.6486","State Executive"
"Garfield","Washington State Insurance Commissioner","WRITE-IN"," ","1","0.0776","State Executive"
"Garfield","Legislative District 9 State Senator","Mark G. Schoesler","(Prefers GOP Party)","1131","98.4334","Legislative"
"Garfield","Legislative District 9 State Senator","WRITE-IN"," ","18","1.5666","Legislative"
"Garfield","Legislative District 9 State Representative Pos. 1","Mary Dye","(Prefers GOP Party)","1109","82.27","Legislative"
"Garfield","Legislative District 9 State Representative Pos. 1","Patrick Miller","(Prefers Democratic Party)","236","17.5074","Legislative"
"Garfield","Legislative District 9 State Representative Pos. 1","WRITE-IN"," ","3","0.2226","Legislative"
"Garfield","Legislative District 9 State Representative Pos. 2","Joe Schmick","(Prefers Republican Party)","1109","82.3311","Legislative"
"Garfield","Legislative District 9 State Representative Pos. 2","Pam Kohlmeier","(Prefers Democratic Party)","238","17.6689","Legislative"
"Garfield","Legislative District 9 State Representative Pos. 2","WRITE-IN"," ","0","0","Legislative"
"Garfield","Garfield COUNTY COMMISSIONER 1","Jim Nelson","(Prefers REPUBLICAN Party)","1198","98.358","County"
"Garfield","Garfield COUNTY COMMISSIONER 1","WRITE-IN"," ","20","1.642","County"
"Garfield","Garfield COUNTY COMMISSIONER 2","Larry Ledgerwood","(States No Party Preference)","1061","94.5633","County"
"Garfield","Garfield COUNTY COMMISSIONER 2","WRITE-IN"," ","61","5.4367","County"
"Garfield","SUPREME COURT Justice Position #02","Sal Mungia"," ","221","20.0727","Judicial"
"Garfield","SUPREME COURT Justice Position #02","Dave Larson"," ","873","79.2916","Judicial"
"Garfield","SUPREME COURT Justice Position #02","WRITE-IN"," ","7","0.6358","Judicial"
"Garfield","SUPREME COURT Justice Position #08","Steve Gonzalez"," ","903","98.4733","Judicial"
"Garfield","SUPREME COURT Justice Position #08","WRITE-IN"," ","14","1.5267","Judicial"
"Garfield","SUPREME COURT Justice Position #09","Sheryl Gordon McCloud"," ","893","98.7832","Judicial"
"Garfield","SUPREME COURT Justice Position #09","WRITE-IN"," ","11","1.2168","Judicial"
"Garfield","Asotin, Columbia, Garfield Superior Court Judge Position 1","Brooke J. Burns"," ","980","96.7423","Judicial"
"Garfield","Asotin, Columbia, Garfield Superior Court Judge Position 1","WRITE-IN"," ","33","3.2577","Judicial"
"Grant","Washington State Initiative Measure No. 2066","Yes"," ","21985","63.8783","State Executive"
"Grant","Washington State Initiative Measure No. 2066","No"," ","12432","36.1217","State Executive"
"Grant","Washington State Initiative Measure No. 2109","Yes"," ","17504","50.2411","State Executive"
"Grant","Washington State Initiative Measure No. 2109","No"," ","17336","49.7589","State Executive"
"Grant","Washington State Initiative Measure No. 2117","Yes"," ","19705","56.7933","State Executive"
"Grant","Washington State Initiative Measure No. 2117","No"," ","14991","43.2067","State Executive"
"Grant","Washington State Initiative Measure No. 2124","Yes"," ","19199","55.5382","State Executive"
"Grant","Washington State Initiative Measure No. 2124","No"," ","15370","44.4618","State Executive"
"Grant","United States President/Vice President","Kamala D. Harris / Tim Walz","Democratic Party Nominees","10806","29.8072","Federal"
"Grant","United States President/Vice President","Donald J. Trump / JD Vance","Republican Party Nominees","24326","67.1007","Federal"
"Grant","United States President/Vice President","Robert F. Kennedy Jr. / Nicole Shanahan","We The People Party Nominees","598","1.6495","Federal"
"Grant","United States President/Vice President","Jill Stein / Rudolph Ware","Green Party Nominees","96","0.2648","Federal"
"Grant","United States President/Vice President","Claudia De la Cruz / Karina Garcia","Socialism and Liberation Party Nominees","43","0.1186","Federal"
"Grant","United States President/Vice President","Rachele Fruit / Dennis Richter","Socialist Workers Party Nominees","6","0.0166","Federal"
"Grant","United States President/Vice President","Joseph Kishore / Jerry White","Socialist Equality Party Nominees","9","0.0248","Federal"
"Grant","United States President/Vice President","Chase Oliver / Mike ter Maat","Libertarian Party Nominees","126","0.3476","Federal"
"Grant","United States President/Vice President","Cornel West / Melina Abdullah","Justice For All Party Nominees","33","0.091","Federal"
"Grant","United States President/Vice President","Shiva Ayyadurai / Crystal Ellis","Independent Candidates","26","0.0717","Federal"
"Grant","United States President/Vice President","WRITE-IN"," ","184","0.5075","Federal"
"Grant","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","11664","33.2043","Federal"
"Grant","United States U.S. Senator","Dr Raul Garcia","(Prefers GOP Party)","23390","66.5851","Federal"
"Grant","United States U.S. Senator","WRITE-IN"," ","74","0.2107","Federal"
"Grant","Congressional District 4 U.S. Representative","Jerrod Sessler","(Prefers Republican Party)","17437","51.3291","Congressional"
"Grant","Congressional District 4 U.S. Representative","Dan Newhouse","(Prefers Republican Party)","16029","47.1844","Congressional"
"Grant","Congressional District 4 U.S. Representative","WRITE-IN"," ","505","1.4866","Congressional"
"Grant","Washington State Governor","Bob Ferguson","(Prefers Democratic Party)","10448","29.2759","State Executive"
"Grant","Washington State Governor","Dave Reichert","(Prefers Republican Party)","25186","70.5727","State Executive"
"Grant","Washington State Governor","WRITE-IN"," ","54","0.1513","State Executive"
"Grant","Washington State Lt. Governor","Denny Heck","(Prefers Democratic Party)","9763","27.7879","State Executive"
"Grant","Washington State Lt. Governor","Dan Matthews","(Prefers Republican Party)","25347","72.1438","State Executive"
"Grant","Washington State Lt. Governor","WRITE-IN"," ","24","0.0683","State Executive"
"Grant","Washington State Secretary of State","Steve Hobbs","(Prefers Democratic Party)","10747","30.7347","State Executive"
"Grant","Washington State Secretary of State","Dale Whitaker","(Prefers Republican Party)","24202","69.2138","State Executive"
"Grant","Washington State Secretary of State","WRITE-IN"," ","18","0.0515","State Executive"
"Grant","Washington State State Treasurer","Mike Pellicciotti","(Prefers Democratic Party)","10473","30.094","State Executive"
"Grant","Washington State State Treasurer","Sharon Hanek","(Prefers Republican Party)","24307","69.8457","State Executive"
"Grant","Washington State State Treasurer","WRITE-IN"," ","21","0.0603","State Executive"
"Grant","Washington State State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)","10493","30.2157","State Executive"
"Grant","Washington State State Auditor","Matt Hawkins","(Prefers Republican Party)","24217","69.7354","State Executive"
"Grant","Washington State State Auditor","WRITE-IN"," ","17","0.049","State Executive"
"Grant","Washington State Attorney General","Pete Serrano","(Prefers Republican Party)","25095","71.9694","State Executive"
"Grant","Washington State Attorney General","Nick Brown","(Prefers Democratic Party)","9749","27.9589","State Executive"
"Grant","Washington State Attorney General","WRITE-IN"," ","25","0.0717","State Executive"
"Grant","Washington State Commissioner of Public Lands","Jaime Herrera Beutler","(Prefers Republican Party)","25336","73.2275","State Executive"
"Grant","Washington State Commissioner of Public Lands","Dave Upthegrove","(Prefers Democratic Party)","9190","26.5615","State Executive"
"Grant","Washington State Commissioner of Public Lands","WRITE-IN"," ","73","0.211","State Executive"
"Grant","Washington State Superintendent of Public Instruction","Chris Reykdal"," ","10150","32.4302","State Executive"
"Grant","Washington State Superintendent of Public Instruction","David Olson"," ","21006","67.1161","State Executive"
"Grant","Washington State Superintendent of Public Instruction","WRITE-IN"," ","142","0.4537","State Executive"
"Grant","Washington State Insurance Commissioner","Patty Kuderer","(Prefers Democratic Party)","10252","29.8249","State Executive"
"Grant","Washington State Insurance Commissioner","Phil Fortunato","(Prefers Republican Party)","24102","70.1169","State Executive"
"Grant","Washington State Insurance Commissioner","WRITE-IN"," ","20","0.0582","State Executive"
"Grant","LEGISLATIVE DISTRICT 13 State Representative Pos. 1","Tom Dent","(Prefers Republican Party)","29142","98.1741","Legislative"
"Grant","LEGISLATIVE DISTRICT 13 State Representative Pos. 1","WRITE-IN"," ","542","1.8259","Legislative"
"Grant","LEGISLATIVE DISTRICT 13 State Representative Pos. 2","Alex Ybarra","(Prefers Republican Party)","28974","98.5209","Legislative"
"Grant","LEGISLATIVE DISTRICT 13 State Representative Pos. 2","WRITE-IN"," ","435","1.4791","Legislative"
"Grant","LEGISLATIVE DISTRICT 16 State Senator","Perry Dozier","(Prefers Republican Party)","162","79.803","Legislative"
"Grant","LEGISLATIVE DISTRICT 16 State Senator","Kari Isaacson","(Prefers Democratic Party)","41","20.197","Legislative"
"Grant","LEGISLATIVE DISTRICT 16 State Senator","WRITE-IN"," ","0","0","Legislative"
"Grant","LEGISLATIVE DISTRICT 16 State Representative Pos. 1","Mark Klicker","(Prefers Republican Party)","159","79.5","Legislative"
"Grant","LEGISLATIVE DISTRICT 16 State Representative Pos. 1","Linda Gunshefski","(Prefers Democratic Party)","41","20.5","Legislative"
"Grant","LEGISLATIVE DISTRICT 16 State Representative Pos. 1","WRITE-IN"," ","0","0","Legislative"
"Grant","LEGISLATIVE DISTRICT 16 State Representative Pos. 2","Skyler Rude","(Prefers Republican Party)","157","78.5","Legislative"
"Grant","LEGISLATIVE DISTRICT 16 State Representative Pos. 2","Craig R Woodard","(Prefers Democratic Party)","43","21.5","Legislative"
"Grant","LEGISLATIVE DISTRICT 16 State Representative Pos. 2","WRITE-IN"," ","0","0","Legislative"
"Grant","Grant Commissioner District #1","Kevin R Burgess","(Prefers Republican Party)","19597","60.7508","County"
"Grant","Grant Commissioner District #1","Amador J. Castro","(Prefers Republican Party)","12398","38.4339","County"
"Grant","Grant Commissioner District #1","WRITE-IN"," ","263","0.8153","County"
"Grant","Grant Commissioner District #2","Rob Jones","(Prefers Republican Party)","18383","59.1569","County"
"Grant","Grant Commissioner District #2","David Henderson","(Prefers Republican Party)","12405","39.9195","County"
"Grant","Grant Commissioner District #2","WRITE-IN"," ","287","0.9236","County"
"Grant","SUPREME COURT Justice Position #02","Sal Mungia"," ","9301","30.2747","Judicial"
"Grant","SUPREME COURT Justice Position #02","Dave Larson"," ","21299","69.3282","Judicial"
"Grant","SUPREME COURT Justice Position #02","WRITE-IN"," ","122","0.3971","Judicial"
"Grant","SUPREME COURT Justice Position #08","Steve Gonzalez"," ","25151","98.473","Judicial"
"Grant","SUPREME COURT Justice Position #08","WRITE-IN"," ","390","1.527","Judicial"
"Grant","SUPREME COURT Justice Position #09","Sheryl Gordon McCloud"," ","24650","98.3365","Judicial"
"Grant","SUPREME COURT Justice Position #09","WRITE-IN"," ","417","1.6635","Judicial"
"Grant","Grant County PUD All Commissioner Dist #1","Judy H. Wilson"," ","25897","98.5764","Public Utility"
"Grant","Grant County PUD All Commissioner Dist #1","WRITE-IN"," ","374","1.4236","Public Utility"
"Grant","Grant County PUD All Commissioner Dist #A AL","Robert Allen"," ","11271","36.3206","Public Utility"
"Grant","Grant County PUD All Commissioner Dist #A AL","Tom Flint"," ","19643","63.2992","Public Utility"
"Grant","Grant County PUD All Commissioner Dist #A AL","WRITE-IN"," ","118","0.3803","Public Utility"
"Grant","GRANT COUNTY PORT DIST #4 Proposition No. 1","Approved"," ","318","53.6256","Port"
"Grant","GRANT COUNTY PORT DIST #4 Proposition No. 1","Rejected"," ","275","46.3744","Port"
"Grant","WILSON CREEK CEMETERY DIST #02 Proposition No. 1","LEVY... YES"," ","103","60.2339","Cemetery"
"Grant","WILSON CREEK CEMETERY DIST #02 Proposition No. 1","LEVY... NO"," ","68","39.7661","Cemetery"
"Grays Harbor","Washington State Initiative Measure No. 2066","Yes"," ","20421","56.2345","State Executive"
"Grays Harbor","Washington State Initiative Measure No. 2066","No"," ","15893","43.7655","State Executive"
"Grays Harbor","Washington State Initiative Measure No. 2109","Yes"," ","14760","40.2586","State Executive"
"Grays Harbor","Washington State Initiative Measure No. 2109","No"," ","21903","59.7414","State Executive"
"Grays Harbor","Washington State Initiative Measure No. 2117","Yes"," ","16823","46.1942","State Executive"
"Grays Harbor","Washington State Initiative Measure No. 2117","No"," ","19595","53.8058","State Executive"
"Grays Harbor","Washington State Initiative Measure No. 2124","Yes"," ","16496","45.3923","State Executive"
"Grays Harbor","Washington State Initiative Measure No. 2124","No"," ","19845","54.6077","State Executive"
"Grays Harbor","United States President/Vice President","Kamala D. Harris / Tim Walz","Democratic Party Nominees","17161","45.4079","Federal"
"Grays Harbor","United States President/Vice President","Donald J. Trump / JD Vance","Republican Party Nominees","19432","51.4169","Federal"
"Grays Harbor","United States President/Vice President","Robert F. Kennedy Jr. / Nicole Shanahan","We The People Party Nominees","621","1.6432","Federal"
"Grays Harbor","United States President/Vice President","Jill Stein / Rudolph Ware","Green Party Nominees","154","0.4075","Federal"
"Grays Harbor","United States President/Vice President","Claudia De la Cruz / Karina Garcia","Socialism and Liberation Party Nominees","36","0.0953","Federal"
"Grays Harbor","United States President/Vice President","Rachele Fruit / Dennis Richter","Socialist Workers Party Nominees","10","0.0265","Federal"
"Grays Harbor","United States President/Vice President","Joseph Kishore / Jerry White","Socialist Equality Party Nominees","11","0.0291","Federal"
"Grays Harbor","United States President/Vice President","Chase Oliver / Mike ter Maat","Libertarian Party Nominees","127","0.336","Federal"
"Grays Harbor","United States President/Vice President","Cornel West / Melina Abdullah","Justice For All Party Nominees","35","0.0926","Federal"
"Grays Harbor","United States President/Vice President","Shiva Ayyadurai / Crystal Ellis","Independent Candidates","51","0.1349","Federal"
"Grays Harbor","United States President/Vice President","WRITE-IN"," ","155","0.4101","Federal"
"Grays Harbor","United States U.S. Senator","Maria Cantwell","(Prefers Democratic Party)","18061","48.8954","Federal"
"Grays Harbor","United States U.S. Senator","Dr Raul Garcia","(Prefers GOP Party)","18772","50.8203","Federal"
"Grays Harbor","United States U.S. Senator","WRITE-IN"," ","105","0.2843","Federal"
"Grays Harbor","CONGRESSIONAL DISTRICT 6 U.S. Representative","Emily Randall","(Prefers Democratic Party)","16523","45.4028","Congressional"
